"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2020 13:53:42.415,1 Jan 2020 14:00:10.579,388.163
2,1 Jan 2020 15:24:05.895,1 Jan 2020 15:35:25.384,679.489
3,1 Jan 2020 16:58:39.939,1 Jan 2020 17:08:54.183,614.244
4,2 Jan 2020 02:52:59.678,2 Jan 2020 02:56:03.859,184.181
5,2 Jan 2020 04:23:45.526,2 Jan 2020 04:35:02.077,676.551
6,2 Jan 2020 05:57:47.188,2 Jan 2020 06:08:15.499,628.310
7,2 Jan 2020 13:36:35.385,2 Jan 2020 13:40:33.154,237.768
8,2 Jan 2020 15:05:42.042,2 Jan 2020 15:16:35.088,653.046
9,2 Jan 2020 16:39:26.878,2 Jan 2020 16:50:24.366,657.488
10,3 Jan 2020 04:05:11.770,3 Jan 2020 04:15:56.882,645.112
11,3 Jan 2020 05:38:54.531,3 Jan 2020 05:49:57.825,663.294
12,3 Jan 2020 07:14:36.460,3 Jan 2020 07:19:34.459,297.999
13,3 Jan 2020 14:47:27.578,3 Jan 2020 14:57:41.150,613.572
14,3 Jan 2020 16:20:25.344,3 Jan 2020 16:31:48.908,683.564
15,3 Jan 2020 17:58:32.341,3 Jan 2020 18:03:15.237,282.896
16,4 Jan 2020 03:46:44.285,4 Jan 2020 03:56:39.475,595.190
17,4 Jan 2020 05:20:05.371,4 Jan 2020 05:31:30.921,685.549
18,4 Jan 2020 06:55:09.838,4 Jan 2020 07:02:14.585,424.747
19,4 Jan 2020 14:29:23.362,4 Jan 2020 14:38:42.803,559.441
20,4 Jan 2020 16:01:33.945,4 Jan 2020 16:13:09.067,695.122
21,4 Jan 2020 17:38:08.053,4 Jan 2020 17:45:37.215,449.162
22,5 Jan 2020 03:28:26.093,5 Jan 2020 03:37:06.574,520.481
23,5 Jan 2020 05:01:19.539,5 Jan 2020 05:12:55.025,695.486
24,5 Jan 2020 06:35:59.485,5 Jan 2020 06:44:32.376,512.891
25,5 Jan 2020 14:11:31.107,5 Jan 2020 14:19:38.423,487.316
26,5 Jan 2020 15:42:51.915,5 Jan 2020 15:54:25.535,693.620
27,5 Jan 2020 17:18:20.937,5 Jan 2020 17:27:28.860,547.922
28,6 Jan 2020 03:10:24.377,6 Jan 2020 03:17:10.645,406.268
29,6 Jan 2020 04:42:37.152,6 Jan 2020 04:54:10.019,692.868
30,6 Jan 2020 06:16:57.318,6 Jan 2020 06:26:35.985,578.667
31,6 Jan 2020 13:53:54.709,6 Jan 2020 14:00:24.201,389.492
32,6 Jan 2020 15:24:18.912,6 Jan 2020 15:35:38.634,679.721
33,6 Jan 2020 16:58:53.551,6 Jan 2020 17:09:07.180,613.629
34,7 Jan 2020 02:53:10.834,7 Jan 2020 02:56:19.564,188.730
35,7 Jan 2020 04:23:58.629,7 Jan 2020 04:35:15.460,676.831
36,7 Jan 2020 05:58:00.516,7 Jan 2020 06:08:28.326,627.810
37,7 Jan 2020 13:36:47.144,7 Jan 2020 13:40:47.239,240.094
38,7 Jan 2020 15:05:54.953,7 Jan 2020 15:16:48.375,653.423
39,7 Jan 2020 16:39:40.345,7 Jan 2020 16:50:37.439,657.094
40,8 Jan 2020 04:05:24.808,8 Jan 2020 04:16:10.398,645.590
41,8 Jan 2020 05:39:07.813,8 Jan 2020 05:50:10.765,662.952
42,8 Jan 2020 07:14:50.368,8 Jan 2020 07:19:46.428,296.060
43,8 Jan 2020 14:47:40.376,8 Jan 2020 14:57:54.481,614.105
44,8 Jan 2020 16:20:38.688,8 Jan 2020 16:32:02.037,683.348
45,8 Jan 2020 17:58:47.134,8 Jan 2020 18:03:27.294,280.160
46,9 Jan 2020 03:46:57.233,9 Jan 2020 03:56:53.150,595.917
47,9 Jan 2020 05:20:18.612,9 Jan 2020 05:31:43.968,685.356
48,9 Jan 2020 06:55:23.434,9 Jan 2020 07:02:26.942,423.509
49,9 Jan 2020 14:29:36.035,9 Jan 2020 14:38:56.189,560.155
50,9 Jan 2020 16:01:47.174,9 Jan 2020 16:13:22.239,695.065
51,9 Jan 2020 17:38:22.142,9 Jan 2020 17:45:49.891,447.749
52,10 Jan 2020 03:28:38.900,10 Jan 2020 03:37:20.464,521.564
53,10 Jan 2020 05:01:32.738,10 Jan 2020 05:13:08.179,695.441
54,10 Jan 2020 06:36:12.949,10 Jan 2020 06:44:44.930,511.981
55,10 Jan 2020 14:11:43.626,10 Jan 2020 14:19:51.892,488.265
56,10 Jan 2020 15:43:05.037,10 Jan 2020 15:54:38.747,693.709
57,10 Jan 2020 17:18:34.740,10 Jan 2020 17:27:41.743,547.004
58,11 Jan 2020 03:10:36.902,11 Jan 2020 03:17:24.895,407.992
59,11 Jan 2020 04:42:50.307,11 Jan 2020 04:54:23.283,692.977
60,11 Jan 2020 06:17:10.703,11 Jan 2020 06:26:48.687,577.984
61,11 Jan 2020 13:54:07.007,11 Jan 2020 14:00:37.820,390.813
62,11 Jan 2020 15:24:31.930,11 Jan 2020 15:35:51.882,679.952
63,11 Jan 2020 16:59:07.165,11 Jan 2020 17:09:20.177,613.012
64,12 Jan 2020 02:53:22.048,12 Jan 2020 02:56:35.209,193.161
65,12 Jan 2020 04:24:11.733,12 Jan 2020 04:35:28.842,677.109
66,12 Jan 2020 05:58:13.845,12 Jan 2020 06:08:41.153,627.308
67,12 Jan 2020 13:36:58.915,12 Jan 2020 13:41:01.313,242.399
68,12 Jan 2020 15:06:07.865,12 Jan 2020 15:17:01.662,653.798
69,12 Jan 2020 16:39:53.814,12 Jan 2020 16:50:50.512,656.698
70,13 Jan 2020 04:05:37.848,13 Jan 2020 04:16:23.912,646.065
