"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,15 Jan 2020 08:15:20.218,15 Jan 2020 08:19:36.524,256.306
81,15 Jan 2020 14:34:17.816,15 Jan 2020 14:37:50.940,213.124
82,15 Jan 2020 16:07:04.397,15 Jan 2020 16:18:07.318,662.921
83,15 Jan 2020 17:45:14.705,15 Jan 2020 17:55:42.810,628.105
84,16 Jan 2020 04:05:01.081,16 Jan 2020 04:09:44.816,283.735
85,16 Jan 2020 05:40:20.379,16 Jan 2020 05:51:51.364,690.985
86,16 Jan 2020 07:18:42.624,16 Jan 2020 07:28:10.360,567.737
87,16 Jan 2020 15:14:01.092,16 Jan 2020 15:22:29.337,508.245
88,16 Jan 2020 16:49:34.539,16 Jan 2020 17:01:11.115,696.576
89,16 Jan 2020 18:30:14.641,16 Jan 2020 18:37:29.159,434.518
90,17 Jan 2020 04:46:03.604,17 Jan 2020 04:55:41.446,577.842
91,17 Jan 2020 06:23:16.779,17 Jan 2020 06:34:40.169,683.390
92,17 Jan 2020 08:02:43.851,17 Jan 2020 08:08:42.736,358.885
93,17 Jan 2020 15:55:21.789,17 Jan 2020 16:06:02.622,640.833
94,17 Jan 2020 17:32:57.385,17 Jan 2020 17:43:53.069,655.683
95,18 Jan 2020 05:28:25.281,18 Jan 2020 05:39:44.992,679.711
96,18 Jan 2020 07:06:33.572,18 Jan 2020 07:16:37.682,604.109
97,18 Jan 2020 15:02:41.444,18 Jan 2020 15:10:13.049,451.605
98,18 Jan 2020 16:37:37.738,18 Jan 2020 16:49:11.998,694.260
99,18 Jan 2020 18:17:29.125,18 Jan 2020 18:25:58.184,509.059
100,19 Jan 2020 04:34:23.117,19 Jan 2020 04:43:08.913,525.797
101,19 Jan 2020 06:11:15.697,19 Jan 2020 06:22:48.379,692.682
102,19 Jan 2020 07:50:19.889,19 Jan 2020 07:57:33.983,434.094
103,19 Jan 2020 15:43:43.370,19 Jan 2020 15:53:56.175,612.806
104,19 Jan 2020 17:20:45.175,19 Jan 2020 17:32:00.703,675.529
105,20 Jan 2020 05:16:32.283,20 Jan 2020 05:27:34.078,661.795
106,20 Jan 2020 06:54:26.613,20 Jan 2020 07:05:00.442,633.829
107,20 Jan 2020 14:51:29.912,20 Jan 2020 14:57:51.173,381.261
108,20 Jan 2020 16:25:44.880,20 Jan 2020 16:37:11.327,686.447
109,20 Jan 2020 18:04:54.253,20 Jan 2020 18:14:19.303,565.051
110,21 Jan 2020 04:22:49.600,21 Jan 2020 04:30:26.684,457.084
111,21 Jan 2020 05:59:16.152,21 Jan 2020 06:10:52.653,696.501
112,21 Jan 2020 07:38:02.324,21 Jan 2020 07:46:16.291,493.967
113,21 Jan 2020 15:32:09.415,21 Jan 2020 15:41:47.726,578.311
114,21 Jan 2020 17:08:37.598,21 Jan 2020 17:20:06.144,688.546
115,21 Jan 2020 18:51:09.669,21 Jan 2020 18:55:05.777,236.108
116,22 Jan 2020 05:04:41.777,22 Jan 2020 05:15:18.202,636.426
117,22 Jan 2020 06:42:21.460,22 Jan 2020 06:53:18.951,657.491
118,22 Jan 2020 08:22:55.910,22 Jan 2020 08:25:41.903,165.994
119,22 Jan 2020 14:40:30.952,22 Jan 2020 14:45:19.279,288.327
120,22 Jan 2020 16:13:55.947,22 Jan 2020 16:25:09.137,673.190
121,22 Jan 2020 17:52:27.257,22 Jan 2020 18:02:35.195,607.938
122,23 Jan 2020 04:11:27.930,23 Jan 2020 04:17:29.794,361.864
123,23 Jan 2020 05:47:18.213,23 Jan 2020 05:58:52.927,694.714
124,23 Jan 2020 07:25:48.870,23 Jan 2020 07:34:51.965,543.095
125,23 Jan 2020 15:20:40.350,23 Jan 2020 15:29:36.867,536.517
126,23 Jan 2020 16:56:34.351,23 Jan 2020 17:08:09.676,695.324
127,23 Jan 2020 18:37:48.145,23 Jan 2020 18:44:06.231,378.086
128,24 Jan 2020 04:52:54.345,24 Jan 2020 05:02:56.730,602.386
129,24 Jan 2020 06:30:17.943,24 Jan 2020 06:41:33.401,675.458
130,24 Jan 2020 08:10:02.599,24 Jan 2020 08:15:06.544,303.945
131,24 Jan 2020 14:30:04.055,24 Jan 2020 14:32:17.879,133.824
132,24 Jan 2020 16:02:10.976,24 Jan 2020 16:13:05.388,654.411
133,24 Jan 2020 17:40:06.650,24 Jan 2020 17:50:47.266,640.615
134,25 Jan 2020 04:00:35.457,25 Jan 2020 04:04:00.760,205.303
135,25 Jan 2020 05:35:22.014,25 Jan 2020 05:46:49.064,687.050
136,25 Jan 2020 07:13:38.399,25 Jan 2020 07:23:22.156,583.757
137,25 Jan 2020 15:09:16.903,25 Jan 2020 15:17:22.902,485.999
138,25 Jan 2020 16:44:35.212,25 Jan 2020 16:56:11.500,696.289
139,25 Jan 2020 18:24:53.920,25 Jan 2020 18:32:42.310,468.390
140,26 Jan 2020 04:41:10.890,26 Jan 2020 04:50:28.707,557.816
141,26 Jan 2020 06:18:15.968,26 Jan 2020 06:29:43.895,687.927
142,26 Jan 2020 07:57:32.669,26 Jan 2020 08:04:05.247,392.578
143,26 Jan 2020 15:50:30.089,26 Jan 2020 16:00:59.983,629.895
144,26 Jan 2020 17:27:51.529,26 Jan 2020 17:38:56.370,664.841
145,27 Jan 2020 05:23:27.750,27 Jan 2020 05:34:40.840,673.090
146,27 Jan 2020 07:01:30.260,27 Jan 2020 07:11:47.528,617.268
147,27 Jan 2020 14:58:00.325,27 Jan 2020 15:05:04.594,424.269
148,27 Jan 2020 16:32:40.064,27 Jan 2020 16:44:11.729,691.666
149,27 Jan 2020 18:12:13.316,27 Jan 2020 18:21:07.577,534.262
150,28 Jan 2020 04:29:32.946,28 Jan 2020 04:37:52.503,499.556
151,28 Jan 2020 06:06:15.525,28 Jan 2020 06:17:50.462,694.937
152,28 Jan 2020 07:45:11.783,28 Jan 2020 07:52:52.362,460.580
153,28 Jan 2020 15:38:53.491,28 Jan 2020 15:48:52.742,599.250
154,28 Jan 2020 17:15:41.300,28 Jan 2020 17:27:03.047,681.747
155,29 Jan 2020 05:11:35.735,29 Jan 2020 05:22:27.917,652.182
156,29 Jan 2020 06:49:24.081,29 Jan 2020 07:00:08.486,644.405
157,29 Jan 2020 14:46:53.212,29 Jan 2020 14:52:39.368,346.156
158,29 Jan 2020 16:20:48.840,29 Jan 2020 16:32:10.423,681.584
159,29 Jan 2020 17:59:41.967,29 Jan 2020 18:09:26.290,584.323
160,30 Jan 2020 04:18:03.498,30 Jan 2020 04:25:05.050,421.553
161,30 Jan 2020 05:54:16.636,30 Jan 2020 06:05:53.085,696.450
162,30 Jan 2020 07:32:56.124,30 Jan 2020 07:41:31.716,515.592
163,30 Jan 2020 15:27:21.509,30 Jan 2020 15:36:43.352,561.842
164,30 Jan 2020 17:03:35.557,30 Jan 2020 17:15:07.663,692.106
165,30 Jan 2020 18:45:30.141,30 Jan 2020 18:50:35.805,305.664
166,31 Jan 2020 04:59:46.426,31 Jan 2020 05:10:09.803,623.377
167,31 Jan 2020 06:37:19.626,31 Jan 2020 06:48:25.287,665.661
168,31 Jan 2020 08:17:28.245,31 Jan 2020 08:21:22.592,234.347
169,31 Jan 2020 14:36:02.789,31 Jan 2020 14:40:00.001,237.213
170,31 Jan 2020 16:09:01.551,31 Jan 2020 16:20:07.593,666.042
171,31 Jan 2020 17:47:17.775,31 Jan 2020 17:57:40.456,622.681
172,1 Feb 2020 04:06:50.074,1 Feb 2020 04:11:58.708,308.634
173,1 Feb 2020 05:42:19.401,1 Feb 2020 05:53:51.656,692.255
174,1 Feb 2020 07:20:44.013,1 Feb 2020 07:30:05.000,560.987
175,1 Feb 2020 15:15:54.676,1 Feb 2020 15:24:31.305,516.629
176,1 Feb 2020 16:51:34.046,1 Feb 2020 17:03:10.464,696.417
177,1 Feb 2020 18:32:23.234,1 Feb 2020 18:39:22.879,419.646
178,2 Feb 2020 04:48:00.515,2 Feb 2020 04:57:45.745,585.229
179,2 Feb 2020 06:25:16.757,2 Feb 2020 06:36:38.077,681.319
180,2 Feb 2020 08:04:48.405,2 Feb 2020 08:10:32.699,344.294
181,2 Feb 2020 15:57:18.264,2 Feb 2020 16:08:03.167,644.902
182,2 Feb 2020 17:34:59.545,2 Feb 2020 17:45:51.212,651.667
183,3 Feb 2020 03:56:51.512,3 Feb 2020 03:57:34.484,42.972
184,3 Feb 2020 05:30:23.981,3 Feb 2020 05:41:46.008,682.027
185,3 Feb 2020 07:08:34.575,3 Feb 2020 07:18:33.117,598.543
186,3 Feb 2020 15:04:33.893,3 Feb 2020 15:12:15.728,461.835
187,3 Feb 2020 16:39:36.583,3 Feb 2020 16:51:11.608,695.025
188,3 Feb 2020 18:19:35.497,3 Feb 2020 18:27:53.660,498.163
189,4 Feb 2020 04:36:19.121,4 Feb 2020 04:45:14.560,535.439
190,4 Feb 2020 06:13:15.422,4 Feb 2020 06:24:46.936,691.514
191,4 Feb 2020 07:52:22.988,4 Feb 2020 07:59:25.829,422.841
192,4 Feb 2020 15:45:39.134,4 Feb 2020 15:55:57.028,617.894
193,4 Feb 2020 17:22:46.523,4 Feb 2020 17:33:59.251,672.727
194,5 Feb 2020 05:18:30.610,5 Feb 2020 05:29:35.873,665.263
195,5 Feb 2020 06:56:27.289,5 Feb 2020 07:06:56.611,629.323
196,5 Feb 2020 14:53:20.812,5 Feb 2020 14:59:54.979,394.167
197,5 Feb 2020 16:27:43.070,5 Feb 2020 16:39:11.194,688.124
198,5 Feb 2020 18:06:59.096,5 Feb 2020 18:16:15.859,556.762
199,6 Feb 2020 04:24:44.217,6 Feb 2020 04:32:34.181,469.964
200,6 Feb 2020 06:01:15.619,6 Feb 2020 06:12:51.868,696.249
201,6 Feb 2020 07:40:04.569,6 Feb 2020 07:48:09.415,484.846
202,6 Feb 2020 15:34:04.412,6 Feb 2020 15:43:48.936,584.523
203,6 Feb 2020 17:10:38.201,6 Feb 2020 17:22:05.031,686.830
204,6 Feb 2020 18:53:29.040,6 Feb 2020 18:56:49.504,200.464
205,7 Feb 2020 05:06:39.656,7 Feb 2020 05:17:20.858,641.202
206,7 Feb 2020 06:44:21.850,7 Feb 2020 06:55:15.812,653.963
207,7 Feb 2020 08:25:11.546,7 Feb 2020 08:27:20.114,128.569
208,7 Feb 2020 14:42:19.203,7 Feb 2020 14:47:25.309,306.105
209,7 Feb 2020 16:15:53.486,7 Feb 2020 16:27:09.258,675.772
210,7 Feb 2020 17:54:30.921,7 Feb 2020 18:04:32.496,601.576
211,8 Feb 2020 04:13:19.996,8 Feb 2020 04:19:40.317,380.321
